data_horario,total,total_sem_reagendado,compareceu,nao_compareceu,reagendado
"2022-03-09 14:00:00",3,3,3,0,0
"2022-03-09 15:00:00",11,9,5,4,2
"2022-03-09 16:00:00",6,5,2,3,1
"2022-03-09 17:00:00",6,5,1,4,1
"2022-03-10 09:00:00",3,1,1,0,2
"2022-03-10 11:00:00",5,3,1,2,2
"2022-03-10 12:00:00",4,4,2,2,0
"2022-03-10 14:00:00",5,5,1,4,0
"2022-03-10 15:00:00",4,4,3,1,0
"2022-03-10 16:00:00",2,2,0,2,0
"2022-03-10 17:00:00",3,3,1,2,0
"2022-03-11 09:00:00",6,5,2,3,1
"2022-03-11 10:00:00",4,3,2,1,1
"2022-03-11 11:00:00",3,3,0,3,0
"2022-03-11 12:00:00",1,0,0,0,1
"2022-03-11 14:00:00",1,1,0,1,0
"2022-03-11 15:00:00",2,2,0,2,0
"2022-03-11 16:00:00",5,4,1,3,1
"2022-03-11 17:00:00",5,5,2,3,0
"2022-03-12 08:00:00",3,3,2,1,0
"2022-03-12 09:00:00",10,10,3,7,0
"2022-03-12 10:00:00",10,9,3,6,1
"2022-03-12 11:00:00",11,10,4,6,1
"2022-03-12 13:00:00",9,8,2,6,1
"2022-03-12 14:00:00",12,9,1,8,3
"2022-03-12 15:00:00",12,9,2,7,3
"2022-03-12 16:00:00",10,10,0,10,0
"2022-03-15 09:00:00",12,10,2,8,2
"2022-03-15 10:00:00",4,3,1,2,1
"2022-03-15 11:00:00",7,6,2,4,1
"2022-03-15 12:00:00",1,1,0,1,0
"2022-03-15 14:00:00",9,8,2,6,1
"2022-03-15 15:00:00",10,9,5,4,1
"2022-03-15 16:00:00",5,5,0,5,0
"2022-03-15 17:00:00",3,2,0,2,1
"2022-03-16 09:00:00",2,1,0,1,1
"2022-03-16 10:00:00",8,8,4,4,0
"2022-03-16 11:00:00",8,8,2,6,0
"2022-03-16 12:00:00",1,1,1,0,0
"2022-03-16 14:00:00",4,3,1,2,1
"2022-03-16 15:00:00",9,6,1,5,3
"2022-03-16 16:00:00",7,6,2,4,1
"2022-03-16 17:00:00",5,5,2,3,0
"2022-03-17 09:00:00",4,4,3,1,0
"2022-03-17 10:00:00",5,5,1,4,0
"2022-03-17 11:00:00",4,2,2,0,2
"2022-03-17 12:00:00",4,3,0,3,1
"2022-03-17 14:00:00",4,3,2,1,1
"2022-03-17 15:00:00",5,4,1,3,1
"2022-03-17 16:00:00",4,3,1,2,1
"2022-03-17 17:00:00",3,2,0,2,1
"2022-03-18 09:00:00",7,5,2,3,2
"2022-03-18 10:00:00",2,1,0,1,1
"2022-03-18 11:00:00",3,3,1,2,0
"2022-03-18 12:00:00",1,1,0,1,0
"2022-03-18 14:00:00",6,3,1,2,3
"2022-03-18 15:00:00",6,4,0,4,2
"2022-03-18 16:00:00",3,3,2,1,0
"2022-03-18 17:00:00",8,8,2,6,0
"2022-03-19 08:00:00",9,5,2,3,4
"2022-03-19 09:00:00",10,7,2,5,3
"2022-03-19 10:00:00",12,11,1,10,1
"2022-03-19 11:00:00",10,9,3,6,1
"2022-03-19 13:00:00",10,9,0,9,1
"2022-03-19 14:00:00",10,9,0,9,1
"2022-03-19 15:00:00",12,12,2,10,0
"2022-03-19 16:00:00",13,11,1,10,2
"2022-03-22 09:00:00",9,8,1,7,1
"2022-03-22 10:00:00",11,9,2,7,2
"2022-03-22 11:00:00",4,4,1,3,0
"2022-03-22 12:00:00",3,3,2,1,0
"2022-03-22 14:00:00",11,8,3,5,3
"2022-03-22 15:00:00",10,7,1,6,3
"2022-03-22 16:00:00",3,1,1,0,2
"2022-03-22 17:00:00",9,7,2,5,2
"2022-03-23 09:00:00",8,7,2,5,1
"2022-03-23 10:00:00",7,7,2,5,0
"2022-03-23 11:00:00",2,0,0,0,2
"2022-03-23 12:00:00",3,2,2,0,1
"2022-03-23 14:00:00",2,2,1,1,0
"2022-03-23 15:00:00",1,1,0,1,0
"2022-03-23 16:00:00",1,1,1,0,0
"2022-03-24 09:00:00",2,1,0,1,1
"2022-03-24 10:00:00",1,0,0,0,1
"2022-03-24 11:00:00",1,1,0,1,0
"2022-03-24 12:00:00",2,1,0,1,1
"2022-03-24 14:00:00",4,3,2,1,1
"2022-03-24 15:00:00",4,3,0,3,1
"2022-03-24 16:00:00",6,3,1,2,3
"2022-03-24 17:00:00",5,4,3,1,1
"2022-03-25 09:00:00",5,5,2,3,0
"2022-03-25 10:00:00",3,1,1,0,2
"2022-03-25 11:00:00",6,4,1,3,2
"2022-03-25 14:00:00",5,3,2,1,2
"2022-03-25 15:00:00",5,3,3,0,2
"2022-03-25 16:00:00",4,3,2,1,1
"2022-03-25 17:00:00",8,5,2,3,3
"2022-03-26 08:00:00",11,9,2,7,2
"2022-03-26 09:00:00",9,7,3,4,2
"2022-03-26 10:00:00",13,8,3,5,5
"2022-03-26 11:00:00",10,9,7,2,1
"2022-03-26 13:00:00",6,6,0,6,0
"2022-03-26 14:00:00",11,10,3,7,1
"2022-03-26 15:00:00",6,5,1,4,1
"2022-03-26 16:00:00",9,7,1,6,2
"2022-03-29 09:00:00",7,5,1,4,2
"2022-03-29 10:00:00",6,6,2,4,0
"2022-03-29 11:00:00",3,2,2,0,1
"2022-03-29 12:00:00",1,0,0,0,1
"2022-03-29 14:00:00",5,5,1,4,0
"2022-03-29 15:00:00",8,6,1,5,2
"2022-03-29 16:00:00",7,7,2,5,0
"2022-03-29 17:00:00",6,6,0,6,0
"2022-03-30 09:00:00",7,4,2,2,3
"2022-03-30 10:00:00",2,2,1,1,0
"2022-03-30 11:00:00",4,3,0,3,1
"2022-03-30 12:00:00",3,3,0,3,0
"2022-03-30 14:00:00",7,6,2,4,1
"2022-03-30 15:00:00",3,3,1,2,0
"2022-03-30 16:00:00",3,2,1,1,1
"2022-03-30 17:00:00",2,1,0,1,1
"2022-03-31 09:00:00",1,1,1,0,0
"2022-03-31 10:00:00",1,1,0,1,0
"2022-03-31 11:00:00",1,1,0,1,0
"2022-03-31 14:00:00",3,3,1,2,0
"2022-03-31 15:00:00",4,2,0,2,2
"2022-03-31 16:00:00",6,5,2,3,1
"2022-03-31 17:00:00",4,2,1,1,2
"2022-04-01 09:00:00",5,5,1,4,0
"2022-04-01 10:00:00",5,4,2,2,1
"2022-04-01 11:00:00",5,5,2,3,0
"2022-04-01 12:00:00",2,1,1,0,1
"2022-04-01 14:00:00",8,7,1,6,1
"2022-04-01 15:00:00",7,7,3,4,0
"2022-04-01 16:00:00",4,2,1,1,2
"2022-04-01 17:00:00",3,2,0,2,1
"2022-04-02 08:00:00",9,9,4,5,0
"2022-04-02 09:00:00",11,9,2,7,2
"2022-04-02 10:00:00",9,6,3,3,3
"2022-04-02 11:00:00",10,8,4,4,2
"2022-04-02 13:00:00",11,9,2,7,2
"2022-04-02 14:00:00",9,9,3,6,0
"2022-04-02 15:00:00",10,10,0,10,0
"2022-04-02 16:00:00",13,11,1,10,2
"2022-04-04 09:00:00",5,5,3,2,0
"2022-04-04 10:00:00",1,1,0,1,0
"2022-04-04 10:30:00",1,1,1,0,0
"2022-04-04 14:00:00",2,2,1,1,0
